TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
312778.5117,-71.431,-14.762,-1006.134,1706.25,-2660.0,778.75,-1112.64,366.32,1840.72
312778.5617,-69.845,-14.152,-1005.951,1758.75,-2668.75,726.25,-1109.6,369.36,1833.12
312778.6117,-70.577,-15.433,-1007.293,1723.75,-2581.25,805.0,-1098.96,364.8,1827.04
312778.6617,-71.37,-14.396,-1007.72,1758.75,-2651.25,927.5,-1108.08,373.92,1830.08
312778.7117,-67.405,-12.81,-1005.158,1802.5,-2703.75,857.5,-1118.72,370.88,1833.12
312778.7617,-70.394,-16.287,-1004.243,1662.5,-2590.0,840.0,-1117.2,370.88,1834.64
312778.8117,-70.882,-14.945,-1008.574,1715.0,-2773.75,822.5,-1109.6,378.48,1830.08
312778.8617,-71.98,-13.786,-1003.816,1706.25,-2695.0,866.25,-1114.16,364.8,1843.76
312778.9117,-72.346,-14.518,-1004.487,1688.75,-2738.75,735.0,-1118.72,367.84,1828.56
312778.9617,-71.492,-16.714,-1008.086,1828.75,-2695.0,936.25,-1108.08,370.88,1824.0
312779.0117,-69.601,-15.25,-1005.951,1645.0,-2633.75,892.5,-1102.0,375.44,1833.12
312779.0617,-71.309,-13.176,-1007.293,1706.25,-2625.0,848.75,-1121.76,372.4,1849.84
312779.1117,-69.662,-11.224,-1007.659,1706.25,-2581.25,892.5,-1112.64,357.2,1851.36
312779.1617,-70.882,-13.237,-1006.195,1776.25,-2616.25,875.0,-1123.28,360.24,1819.44
312779.2117,-70.333,-11.956,-1008.33,1715.0,-2555.0,822.5,-1105.04,372.4,1840.72
312779.2617,-71.004,-14.274,-1005.646,1653.75,-2730.0,901.25,-1114.16,373.92,1827.04
312779.3117,-70.577,-15.006,-1006.378,1855.0,-2782.5,778.75,-1127.84,387.6,1828.56
312779.3617,-70.76,-15.738,-1006.439,1697.5,-2651.25,822.5,-1117.2,366.32,1831.6
312779.4117,-69.662,-13.298,-1003.633,1846.25,-2625.0,927.5,-1112.64,369.36,1828.56
312779.4617,-73.444,-14.396,-1005.036,1802.5,-2695.0,822.5,-1098.96,360.24,1831.6
312779.5117,-70.394,-15.25,-1004.914,1741.25,-2633.75,927.5,-1109.6,367.84,1830.08
312779.5617,-70.943,-13.603,-1007.842,1741.25,-2642.5,901.25,-1109.6,358.72,1813.36
312779.6117,-69.54,-14.03,-1004.365,1758.75,-2677.5,962.5,-1123.28,363.28,1849.84
312779.6617,-69.418,-13.298,-1006.317,1750.0,-2590.0,910.0,-1124.8,363.28,1830.08
312779.7117,-70.516,-14.64,-1005.341,1811.25,-2633.75,1076.25,-1112.64,370.88,1828.56
312779.7617,-71.187,-14.64,-1003.206,1741.25,-2598.75,936.25,-1097.44,367.84,1814.88
312779.8117,-68.32,-13.847,-1005.89,1776.25,-2677.5,857.5,-1109.6,376.96,1827.04
312779.8617,-68.564,-13.969,-1004.426,1767.5,-2432.5,962.5,-1117.2,364.8,1843.76
312779.9117,-71.675,-14.64,-1004.365,1706.25,-2695.0,910.0,-1115.68,364.8,1828.56
312779.9617,-70.15,-14.701,-1006.927,1793.75,-2835.0,857.5,-1114.16,370.88,1837.68
312780.0117,-69.418,-14.457,-1005.585,1802.5,-2651.25,901.25,-1115.68,369.36,1828.56
312780.0617,-68.991,-15.494,-1006.256,1758.75,-2642.5,962.5,-1117.2,375.44,1820.96
312780.1117,-70.211,-15.433,-1004.853,1758.75,-2686.25,796.25,-1105.04,363.28,1831.6
312780.1617,-71.126,-14.762,-1006.744,1776.25,-2721.25,927.5,-1114.16,381.52,1836.16
312780.2117,-70.577,-14.03,-1004.06,1802.5,-2616.25,883.75,-1106.56,367.84,1820.96
312780.2617,-70.455,-13.725,-1006.5,1653.75,-2633.75,848.75,-1108.08,369.36,1843.76
312780.3117,-70.882,-13.481,-1004.853,1636.25,-2721.25,805.0,-1109.6,358.72,1831.6
312780.3617,-72.163,-14.579,-1006.5,1776.25,-2555.0,892.5,-1100.48,357.2,1836.16
312780.4117,-69.906,-13.725,-1006.195,1785.0,-2633.75,910.0,-1108.08,367.84,1827.04
312780.4617,-71.065,-15.128,-1006.195,1732.5,-2651.25,770.0,-1132.4,369.36,1839.2
312780.5117,-72.285,-14.823,-1005.951,1706.25,-2616.25,918.75,-1111.12,367.84,1834.64
312780.5617,-69.906,-14.701,-1008.452,1680.0,-2651.25,831.25,-1111.12,361.76,1824.0
312780.6117,-70.455,-14.335,-1007.171,1671.25,-2721.25,875.0,-1097.44,363.28,1846.8
312780.6617,-70.272,-15.067,-1003.999,1697.5,-2598.75,787.5,-1108.08,361.76,1837.68
312780.7117,-69.845,-12.932,-1004.548,1706.25,-2528.75,805.0,-1117.2,364.8,1831.6
312780.7617,-70.638,-14.579,-1004.67,1750.0,-2581.25,822.5,-1118.72,384.56,1825.52
312780.8117,-68.991,-14.579,-1003.45,1662.5,-2660.0,813.75,-1094.4,373.92,1837.68
312780.8617,-73.627,-15.738,-1005.829,1785.0,-2642.5,787.5,-1102.0,369.36,1834.64
312780.9117,-68.686,-16.104,-1005.341,1697.5,-2616.25,848.75,-1105.04,360.24,1827.04
312780.9617,-70.028,-14.396,-1005.768,1741.25,-2563.75,752.5,-1115.68,383.04,1824.0
312781.0117,-70.577,-16.47,-1006.561,1785.0,-2686.25,761.25,-1112.64,376.96,1843.76
312781.0617,-71.126,-14.823,-1004.304,1627.5,-2712.5,743.75,-1106.56,363.28,1824.0
312781.1117,-71.187,-14.701,-1001.864,1706.25,-2572.5,980.0,-1111.12,367.84,1837.68
312781.1617,-69.967,-14.884,-1007.232,1776.25,-2625.0,918.75,-1117.2,363.28,1831.6
312781.2117,-70.882,-12.444,-1006.195,1610.0,-2625.0,770.0,-1118.72,373.92,1827.04
312781.2617,-71.004,-14.64,-1005.524,1785.0,-2633.75,918.75,-1114.16,367.84,1845.28
312781.3117,-71.858,-14.274,-1005.341,1776.25,-2642.5,840.0,-1109.6,366.32,1825.52
312781.3617,-70.638,-12.566,-1006.622,1618.75,-2730.0,603.75,-1115.68,361.76,1827.04
312781.4117,-68.564,-14.579,-1006.622,1706.25,-2660.0,918.75,-1115.68,373.92,1852.88
312781.4617,-68.93,-13.481,-1005.89,1627.5,-2808.75,813.75,-1109.6,370.88,1824.0
312781.5117,-71.248,-14.213,-1008.452,1680.0,-2756.25,813.75,-1111.12,373.92,1827.04
312781.5617,-67.588,-14.396,-1005.829,1706.25,-2563.75,822.5,-1115.68,370.88,1836.16
312781.6117,-70.394,-14.396,-1005.829,1776.25,-2607.5,910.0,-1111.12,369.36,1820.96
312781.6617,-70.089,-14.152,-1006.256,1811.25,-2668.75,831.25,-1103.52,367.84,1842.24
312781.7117,-72.224,-12.383,-1008.33,1820.0,-2773.75,787.5,-1115.68,364.8,1836.16
312781.7617,-69.601,-12.749,-1005.707,1645.0,-2581.25,883.75,-1111.12,361.76,1843.76
312781.8117,-71.492,-15.067,-1006.195,1732.5,-2703.75,752.5,-1103.52,364.8,1827.04
312781.8617,-71.37,-15.25,-1005.951,1662.5,-2590.0,831.25,-1112.64,367.84,1819.44
312781.9117,-72.773,-14.213,-1006.195,1715.0,-2686.25,857.5,-1109.6,358.72,1827.04
312781.9617,-72.224,-12.444,-1005.28,1697.5,-2537.5,892.5,-1115.68,378.48,1834.64
312782.0117,-69.723,-14.823,-1006.744,1653.75,-2625.0,761.25,-1123.28,372.4,1828.56
312782.0617,-69.54,-11.59,-1004.121,1645.0,-2572.5,936.25,-1108.08,372.4,1817.92
312782.1117,-74.176,-14.213,-1013.088,2677.5,-3351.25,953.75,-1108.08,370.88,1819.44
