TimeStamp,ECR,FCR,ECU,FCU
311824.1007,-12184.67,-1891.8,-3552.25,-6529.14
311824.1017,-12267.21,-1979.88,-3629.4,-6609.92
311824.1027,-12382.89,-2106.76,-3737.78,-6722.02
311824.1037,-12516.93,-2248.62,-3861.9,-6849.67
311824.1047,-12647.73,-2391.86,-3982.07,-6972.17
311824.1057,-12761.55,-2515.6,-4086.16,-7077.89
311824.1067,-12856.58,-2619.93,-4173.61,-7165.62
311824.1077,-12923.77,-2696.8,-4238.46,-7226.85
311824.1087,-12946.94,-2723.27,-4261.35,-7245.73
311824.1097,-12941.27,-2716.88,-4252.24,-7232.71
311824.1107,-12910.37,-2680.3,-4214.43,-7200.53
311824.1117,-12834.22,-2595.52,-4138.47,-7126.0
311824.1127,-12724.11,-2473.69,-4035.76,-7017.47
311824.1137,-12596.37,-2334.69,-3921.56,-6898.45
311824.1147,-12470.29,-2196.65,-3804.49,-6783.58
311824.1157,-12356.95,-2072.91,-3700.11,-6683.87
311824.1167,-12256.72,-1954.46,-3612.95,-6593.8
311824.1177,-12177.8,-1861.57,-3542.28,-6520.51
311824.1187,-12144.85,-1831.01,-3514.53,-6495.91
311824.1197,-12138.89,-1829.43,-3511.76,-6493.71
311824.1207,-12169.79,-1869.96,-3546.91,-6525.85
311824.1217,-12252.09,-1964.86,-3625.82,-6606.2
311824.1227,-12370.92,-2093.12,-3731.58,-6721.59
311824.1237,-12509.59,-2244.95,-3856.99,-6857.01
311824.1247,-12648.73,-2402.4,-3984.31,-6985.86
311824.1257,-12761.02,-2530.38,-4086.35,-7088.09
311824.1267,-12853.34,-2632.71,-4166.32,-7168.39
311824.1277,-12932.87,-2716.4,-4236.51,-7232.14
311824.1287,-12969.11,-2750.16,-4267.5,-7257.84
311824.1297,-12958.58,-2737.95,-4258.59,-7247.54
311824.1307,-12909.13,-2679.06,-4214.24,-7198.76
311824.1317,-12817.19,-2574.21,-4136.61,-7105.64
311824.1327,-12700.56,-2441.74,-4028.75,-6991.2
311824.1337,-12569.05,-2293.78,-3900.05,-6864.69
311824.1347,-12435.29,-2145.82,-3774.17,-6740.19
311824.1357,-12316.9,-2014.45,-3665.97,-6632.9
311824.1367,-12216.43,-1906.44,-3580.62,-6544.35
311824.1377,-12146.0,-1835.39,-3523.73,-6481.46
311824.1387,-12126.64,-1815.65,-3508.85,-6468.15
311824.1397,-12141.66,-1828.38,-3516.77,-6483.6
311824.1407,-12177.33,-1869.77,-3549.43,-6521.08
311824.1417,-12259.44,-1964.57,-3622.72,-6601.43
311824.1427,-12378.98,-2095.56,-3733.97,-6717.4
311824.1437,-12511.35,-2243.66,-3855.8,-6847.29
311824.1447,-12644.82,-2391.48,-3978.68,-6975.79
311824.1457,-12766.7,-2517.75,-4086.88,-7086.56
311824.1467,-12864.45,-2623.61,-4176.0,-7181.5
311824.1477,-12931.92,-2700.85,-4240.08,-7250.17
311824.1487,-12952.19,-2731.9,-4258.11,-7269.72
311824.1497,-12943.7,-2724.93,-4249.14,-7255.84
311824.1507,-12910.56,-2685.69,-4219.58,-7213.74
311824.1517,-12823.39,-2594.38,-4136.47,-7127.72
311824.1527,-12696.6,-2455.09,-4017.4,-7001.69
311824.1537,-12562.56,-2309.61,-3891.8,-6863.4
311824.1547,-12434.05,-2167.75,-3776.46,-6745.48
311824.1557,-12325.86,-2046.63,-3678.42,-6648.45
311824.1567,-12221.53,-1929.66,-3581.72,-6553.22
311824.1577,-12147.52,-1847.93,-3512.96,-6485.99
311824.1587,-12134.36,-1832.53,-3501.22,-6471.68
311824.1597,-12150.29,-1849.99,-3516.29,-6488.66
311824.1607,-12185.29,-1882.51,-3555.68,-6527.76
311824.1617,-12256.91,-1964.33,-3627.49,-6603.29
311824.1627,-12367.58,-2084.68,-3735.83,-6713.44
311824.1637,-12506.01,-2229.64,-3857.33,-6843.95
311824.1647,-12641.19,-2372.93,-3968.81,-6965.69
311824.1657,-12749.24,-2493.38,-4064.75,-7065.73
311824.1667,-12837.03,-2594.66,-4146.62,-7151.32
311824.1677,-12903.98,-2673.15,-4209.57,-7214.79
311824.1687,-12924.77,-2697.18,-4227.35,-7229.28
311824.1697,-12916.66,-2690.03,-4224.01,-7215.12
311824.1707,-12883.33,-2662.13,-4194.93,-7179.4
311824.1717,-12799.31,-2580.12,-4119.35,-7103.11
311824.1727,-12685.25,-2452.04,-4014.54,-6992.1
311824.1737,-12553.79,-2301.79,-3890.32,-6867.31
311824.1747,-12422.66,-2159.69,-3772.07,-6741.14
311824.1757,-12315.85,-2039.1,-3682.09,-6639.48
311824.1767,-12222.96,-1931.95,-3594.26,-6552.65
311824.1777,-12147.24,-1849.7,-3521.06,-6489.56
311824.1787,-12122.25,-1828.77,-3499.89,-6470.25
311824.1797,-12130.26,-1841.88,-3508.71,-6483.65
