TimeStamp,ECR,FCR,ECU,FCU
312415.9757,-10969.07,-501.78,-1740.41,-4366.88
312415.9767,-10881.47,-413.37,-1661.4,-4288.53
312415.9777,-10829.69,-371.17,-1606.66,-4244.42
312415.9787,-10798.88,-362.92,-1577.23,-4225.64
312415.9797,-10814.62,-397.16,-1609.95,-4251.19
312415.9807,-10899.31,-487.33,-1716.23,-4335.26
312415.9817,-11024.71,-605.2,-1844.5,-4447.22
312415.9827,-11169.53,-751.35,-1982.74,-4582.88
312415.9837,-11332.47,-912.19,-2144.67,-4735.8
312415.9847,-11488.01,-1057.86,-2302.17,-4876.95
312415.9857,-11625.86,-1190.47,-2444.6,-5006.5
312415.9867,-11727.76,-1294.61,-2547.55,-5103.64
312415.9877,-11768.06,-1337.34,-2582.65,-5145.69
312415.9887,-11774.88,-1335.19,-2575.21,-5146.55
312415.9897,-11742.12,-1301.72,-2533.29,-5117.04
312415.9907,-11658.38,-1215.46,-2455.33,-5041.6
312415.9917,-11550.43,-1104.74,-2353.86,-4938.94
312415.9927,-11416.29,-968.07,-2205.04,-4808.0
312415.9937,-11264.85,-816.54,-2055.74,-4665.66
312415.9947,-11117.08,-668.86,-1916.89,-4529.0
312415.9957,-10961.49,-528.38,-1770.93,-4394.67
312415.9967,-10824.68,-406.89,-1642.47,-4276.75
312415.9977,-10761.64,-348.95,-1581.72,-4218.25
312415.9987,-10736.8,-327.25,-1568.41,-4196.79
312415.9997,-10753.97,-349.81,-1597.02,-4218.86
312416.0007,-10857.54,-454.52,-1708.32,-4316.52
312416.0017,-11006.26,-595.86,-1868.82,-4449.03
312416.0027,-11171.87,-751.78,-2038.72,-4594.71
312416.0037,-11337.62,-907.09,-2191.11,-4743.86
312416.0047,-11476.71,-1036.21,-2311.85,-4864.6
312416.0057,-11597.59,-1155.23,-2425.29,-4975.46
312416.0067,-11694.24,-1259.66,-2514.12,-5067.06
312416.0077,-11766.15,-1329.71,-2555.8,-5133.34
312416.0087,-11797.14,-1356.7,-2550.65,-5163.0
312416.0097,-11775.83,-1329.95,-2516.22,-5144.36
312416.0107,-11692.19,-1247.02,-2453.85,-5068.73
312416.0117,-11555.39,-1113.13,-2334.21,-4944.13
312416.0127,-11391.59,-946.71,-2184.44,-4785.73
312416.0137,-11238.15,-789.45,-2030.75,-4634.43
312416.0147,-11089.9,-644.35,-1885.56,-4497.34
312416.0157,-10945.85,-499.11,-1753.43,-4365.4
312416.0167,-10810.52,-366.83,-1616.19,-4240.23
312416.0177,-10732.99,-296.83,-1538.56,-4173.8
312416.0187,-10737.85,-302.03,-1548.58,-4177.14
312416.0197,-10795.45,-364.11,-1604.89,-4232.93
312416.0207,-10916.81,-489.19,-1708.94,-4344.03
312416.0217,-11040.97,-620.32,-1835.2,-4460.05
312416.0227,-11155.08,-757.31,-1974.44,-4581.74
312416.0237,-11286.45,-905.37,-2114.15,-4713.44
312416.0247,-11435.89,-1044.85,-2262.64,-4848.96
312416.0257,-11590.24,-1175.74,-2411.7,-4983.38
312416.0267,-11712.98,-1277.02,-2520.04,-5087.04
312416.0277,-11770.77,-1321.13,-2579.4,-5135.87
312416.0287,-11788.89,-1326.89,-2611.07,-5145.98
312416.0297,-11755.18,-1290.37,-2573.63,-5111.5
312416.0307,-11648.27,-1188.14,-2451.85,-5013.8
312416.0317,-11519.34,-1058.29,-2315.09,-4894.11
312416.0327,-11368.51,-906.66,-2153.92,-4754.11
312416.0337,-11215.74,-763.94,-1995.66,-4621.22
312416.0347,-11085.56,-638.68,-1893.33,-4504.73
312416.0357,-10962.44,-521.09,-1782.13,-4392.34
312416.0367,-10851.53,-421.71,-1662.87,-4300.79
312416.0377,-10803.03,-382.23,-1584.82,-4260.87
312416.0387,-10788.39,-373.27,-1551.25,-4245.95
312416.0397,-10811.38,-396.3,-1586.25,-4262.07
312416.0407,-10877.18,-463.44,-1665.07,-4320.34
312416.0417,-10988.81,-576.11,-1777.98,-4424.43
312416.0427,-11149.6,-736.81,-1942.21,-4575.73
312416.0437,-11318.92,-907.95,-2112.91,-4734.09
312416.0447,-11495.07,-1073.31,-2289.72,-4888.77
312416.0457,-11658.57,-1210.74,-2453.18,-5016.23
312416.0467,-11765.1,-1296.23,-2550.6,-5097.39
312416.0477,-11805.3,-1327.61,-2589.7,-5131.96
312416.0487,-11818.17,-1331.19,-2608.2,-5143.26
312416.0497,-11791.76,-1298.05,-2604.06,-5121.37
312416.0507,-11696.91,-1199.53,-2522.04,-5034.78
312416.0517,-11548.57,-1053.91,-2363.73,-4898.55
312416.0527,-11377.62,-892.64,-2176.95,-4744.72
312416.0537,-11213.4,-739.43,-2010.06,-4599.67
312416.0547,-11074.74,-613.69,-1890.28,-4485.61
312416.0557,-10948.47,-502.92,-1771.02,-4382.47
312416.0567,-10841.94,-410.03,-1647.62,-4294.44
312416.0577,-10794.5,-385.57,-1605.8,-4270.03
312416.0587,-10770.85,-385.71,-1606.27,-4265.17
312416.0597,-10769.8,-401.88,-1614.19,-4266.55
312416.0607,-10830.36,-469.02,-1666.31,-4317.05
312416.0617,-10946.13,-580.93,-1785.61,-4416.61
312416.0627,-11082.98,-709.58,-1911.12,-4533.82
312416.0637,-11246.73,-859.31,-2081.92,-4680.97
312416.0647,-11427.12,-1013.42,-2270.03,-4834.46
312416.0657,-11575.08,-1148.99,-2410.41,-4961.01
312416.0667,-11694.34,-1256.28,-2512.69,-5059.53
312416.0677,-11758.23,-1312.21,-2573.01,-5112.22
312416.0687,-11776.11,-1324.08,-2585.36,-5127.05
312416.0697,-11748.65,-1288.65,-2551.84,-5100.68
312416.0707,-11652.85,-1191.76,-2448.61,-5018.04
312416.0717,-11524.39,-1064.44,-2314.76,-4901.36
312416.0727,-11376.72,-916.29,-2171.47,-4763.79
312416.0737,-11221.03,-762.03,-2020.88,-4616.07
312416.0747,-11075.59,-621.6,-1883.22,-4485.23
312416.0757,-10932.49,-487.76,-1743.98,-4354.57
312416.0767,-10812.47,-376.46,-1610.23,-4248.0
312416.0777,-10780.67,-347.66,-1575.76,-4219.15
312416.0787,-10795.55,-364.45,-1595.88,-4237.75
312416.0797,-10831.55,-400.3,-1639.89,-4272.65
312416.0807,-10925.58,-491.62,-1745.51,-4357.91
312416.0817,-11047.7,-617.98,-1874.64,-4472.3
